id,producto,titular,registrosanitario,fechaexpedicion,fechavencimiento,estadoregistro,expedientecum,consecutivocum,cantidadcum,descripcioncomercial,estadocum,fechaactivo,fechainactivo,muestramedica,unidad,atc,descripcionatc,viaadministracion,concentracion,principioactivo,unidadmedida,cantidad,unidadreferencia,formafarmaceutica,nombrerol,tiporol,modalidad
211,OXIGENO MEDICINAL,OXIGENOS DE COLOMBIA LTDA. - OXICOL LTDA,INVIMA 2015M-008367-R3,09/02/1994,09/08/2020,Vigente,50423,2,3.5,OXIGENO GASEOSO (NO MENOS DE 99% EN VOLUMEN). EN CILINDRO BLANCO EN ACERO AL CARBON. DE CAPACIDAD: 3.5 M3 . CADA M3 DE OXIGENO GASEOSO COMPRIMIDO A ALTA PRESIÓN EQUIVALENTE A 1000 L DE OXIGENO GASEOSO.,Activo,11/10/2006,N/A,No,m3,V03AN01,OXIGENO,INHALACION,F,OXIGENO MEDICINAL,% (V/V),99,M3 (METROS CUBICOS),GAS,GASES INDUSTRIALES DE COLOMBIA CRYOGAS S.A,FABRICANTE,FABRICAR Y VENDER
212,ROSUVINA LEGRAND® E 10/40,LABORATORIOS LEGRAND S.A.,INVIMA 2018M-0013758-R1,11/13/2012,12/04/2023,Vigente,20043340,26,7,USO INSTITUCIONAL:CAJA POR 7 TABLETAS EN BLISTER AL/OPA/PVC-ALUMINIO,Inactivo,01/22/2016,N/A,No,U,C10AX09,EZETIMIBE,ORAL,A,EZETIMIBE,mg,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIOS LEGRAND S.A.,FABRICANTE,FABRICAR Y VENDER
213,OFTAPREDNOL SUSPENSION OFTALMICA ESTERIL,TECNOQUIMICAS S.A.,INVIMA 2015M-0016417,10/19/2015,11/05/2020,Vigente,20086574,3,1,INSTITUCIONAL: CAJA PLEGADIZA CON FRASCO GOTERO EN POLIETILENO DE BAJA DENSIDAD (PEBD) COLOR NATURAL POR 5 ML. SUBTAPA CAPILAR EN POLIETILENO DE BAJA DENSIDAD (PEBD) COLOR NATURAL Y TAPA DE SEGURIDAD EN POLIPROPILENO COLOR BLANCO.,Activo,10/06/2015,N/A,No,U,S01BA14,LOTEPREDNOL,OFTÁLMICA,C,LOTEPREDNOL ETABONATO,mg,2,ML. SUSPENSION OFTALMICA,SUSPENSION OFTALMICA,TECNOFAR TQ S.A.S.,FABRICANTE,FABRICAR Y VENDER
214,NOVOEIGHT® 1500 UI POLVO Y SOLVENTE PARA SOLUCIÓN PARA INYECCIÓN,NOVO NORDISK A/S (LIBERADOR DE PT),INVIMA 2016M-0017062,05/17/2016,06/15/2021,Vigente,20090708,1,1,PRESENTACIÓN COMERCIAL: CAJA POR UN VIAL DE VIDRIO INCOLORO TIPO I DE 5ML CON POLVO Y TAPÓN VERDE DE GOMA DE CLOROBUTILO. UNA JERINGA PRE-LLENADA DE VIDRIO DE BOROSILICATO INCOLORO CON SOLVENTE DE RECONSTITUCIÓN. UN ADAPTADOR ESTÉRIL CON CUERPO DE POLICAR,Activo,10/30/2015,N/A,No,U,B02BD02,COAGULACION FACTORES VIII,INTRAVENOSA,A,FACTOR VIII DE COAGULACIÓN HUMANO RECOMBINANTE (ADNR) TUROCTOCOG ALFA,UI,"1,500",VIAL CON POLVO PARA RECONSTITUIR A SOLUCION PARA INYECCIÓN EQUIVALENTE A 1500 UI,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,NOVO NORDISK A/S,FABRICANTE,IMPORTAR Y VENDER
215,DEMULIN® ER 0.4,LABORATORIOS LEGRAND S.A.,INVIMA 2010M-0010681,04/14/2010,04/29/2020,Vigente,20011017,10,5,USO INSTITUCIONAL: CAJA X 5 CAPSULAS EN BLISTER PVC / PVDC - ALUMINIO POR 5 CAPULAS CADA UNO,Inactivo,06/06/2017,12/21/2017,No,U,G04CA02,TAMSULOSINA,ORAL,A,CLORHIDRATO DE TAMSULOSINA,mg,0.4,CAPSULA DE LIBERACION PROLONGADA,CAPSULA DE LIBERACION PROLONGADA,MACLEODS PHARMACEUTICALS LIMITED,FABRICANTE,IMPORTAR Y VENDER
216,VOLTAREN® EMULGEL FORTE 2.32%,GLAXOSMITHKLINE CONSUMER HEALTH CARE COLOMBIA S.A.S.,INVIMA 2018M-0014657-R1,10/11/2013,09/13/2023,Vigente,20058288,12,20,MUESTRA MEDICA: CAJA CON UN TUBO DE ALUMINIO LAMINADO (LDPE/AL/HDPE) Y TAPA DE PP. POR 20 G DE GEL.,Activo,05/23/2013,N/A,Si,g,M02AA15,DICLOFENAC,TOPICA (EXTERNA),D,2.32 G DE DICLOFENACO DIETILAMONIO. EQUIVALENTE A DICLOFENACO SODICO,g,2,100 G DE GEL,GEL TOPICO,GSK CONSUMER HEALTHCARE S.A,FABRICANTE,IMPORTAR Y VENDER
217,NEO QUIPENYL®,SANOFI-AVENTIS DE COLOMBIA S.A.,INVIMA 2015M-007149-R3,06/26/1995,10/05/2020,Vigente,57641,1,"1,400",CAJA POR CIEN BLISTER PVC / ALUMINIO POR 14 TABLETAS CADA UNO.,Inactivo,11/10/2006,12/21/2018,No,U,P01BA03,PRIMAQUINA,ORAL,A,PRIMAQUINA FOSFATO 26.3 MG. EQUIVALENTE A PRIMAQUINA BASE,mg,15,TABLETA,TABLETA,SANOFI - AVENTIS DE COLOMBIA S.A.,FABRICANTE,FABRICAR Y VENDER
218,METILPREDNISOLONA SODIO SUCCINATO. METIL PREDNISOLONA 500 MG. PARA RECONSTITUIR A 4 ML. DE SOLUCIÓN INYECTABLE. I.M.. I.V. LENTA . NFUSIÓN I.V.,FEPARVI LTDA.,INVIMA 2005 M-005306 R1,07/27/1996,11/10/2021,Vigente,202576,1,10,CAJA X 10 FRASCO VIAL EN VIDRIO TIPO I . TAPÓN DE CAUCHO Y AGRAFE EN ALUMINIO.,Activo,11/10/2006,N/A,No,U,H02AB04,METILPREDNISOLONA,INTRAVENOSA,A,METILPREDNISOLONA SODIO SUCCINATO 662.88 MG..  EQUIVALENTE A METIL PREDISOLONA,mg,500,VIAL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,ROTEXMEDICA GMBH,FABRICANTE,IMPORTAR Y VENDER
219,PREGNYL® INYECTABLE 5000 U.I.,MERCK SHARP & DOHME B.V.. (ANTES DENOMINADO N.V. ORGANON),INVIMA 2016M-001441-R2,05/28/1995,07/25/2021,Vigente,55338,1,3,CAJA CON 3 AMPOLLAS DE VIDRIO TRANSPARENTE EN BOROSILICATO TIPO I DE LIOFILIZADO MAS 3 AMPOLLAS DE DISOLVENTES DE 1 ML,Activo,11/10/2006,N/A,No,U,G03GA01,GONADOTROPINA CORIONICA,SUBCUTANEA,A,GONADOTROPINA CORIONICA,UI,"5,000",AMPOLLA,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,MERCK SHARP & DOHME COLOMBIA S.A.S,IMPORTADOR,IMPORTAR Y VENDER
220,MILPAX SUSPENSION,FARMA DE COLOMBIA S.A.S.,INVIMA 2019M-006932-R2,08/29/1997,01/29/2025,Vigente,24380,6,150,PRESENTACION DE USO INSTITUCIONAL: FRASCO DE POLIETILENO DE ALTA DENSIDAD (PEAD) POR 150ML CON TAPA PLÁSTICA BLANCA DE POLIPROPILENO CON ROSCA Y BANDA DE SEGURIDAD.,Activo,06/16/2015,N/A,No,ml,A02AB10,COMBINACIONES,ORAL,B,CARBONATO DE CALCIO USP,g,1.5,100ML DE SUSPENSIÓN ORAL,SUSPENSION ORAL,SANOFI - AVENTIS DE COLOMBIA S.A,FABRICANTE,FABRICAR Y VENDER
221,BONDIGEST® 10 MG,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2018M-0009534-R1,05/04/2009,12/28/2023,Vigente,20001661,16,30,CAJA DE CARTON POR 30 TABLETAS EN BLISTER DE PVDC/ALUMINIO INCOLORO.,Activo,06/13/2012,N/A,No,U,A03FA99,MOSAPRIDA,ORAL,A,MOSAPRIDA CITRATO,mg.,10,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
222,CORDIAX AM 40/ 5 MG TABLETAS,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2018M-0013925-R1,12/10/2012,05/10/2023,Vigente,20043072,13,200,CAJA PLEGADIZA POR 200 TABLETAS EN BLISTER ALU-ALU/ALUMINIO,Activo,02/14/2012,N/A,No,U,C09DB04,TELMISARTAN Y AMLODIPINO,ORAL,A,TELMISARTAN,mg,40,TABLETA,TABLETA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER
223,MOXIFEN® 400 TABLETA RECUBIERTA,LABORATORIOS LEGRAND S.A.,INVIMA 2015M-0016261,09/10/2015,10/06/2020,Vigente,20084580,5,7,CAJA POR 7 TABLETAS RECUBIERTAS EN BLISTER OPA/AL/PVC/ALUMINIO (ALU/ALU),Activo,04/22/2015,N/A,No,U,J01MA14,MOXIFLOXACINA,ORAL,A,MOXIFLOXACINO CLORHIDRATO DC 57.5% EQUIVALENTE A MOXIFLOXACINA BASE,mg,400,CADA TABLETA,TABLETA CUBIERTA (GRAGEA),LABORATORIOS LEGRAND S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
224,AGRIPPAL S1,SEQIRUS S.R.L,INVIMA 2016M-001894-R2,06/14/1995,04/29/2021,Vigente,7038,1,1,CAJA DE CARTÓN CON BLISTER DE PVC O PET CON UN TAMPÓN-EMBOLO CON UNA JERINGA PRELLENADA DE VIDRIO INCOLORO NEUTRO.TIPO I,Activo,11/10/2006,N/A,No,U,J07BB02,INFLUENZA ANTIGENO PURIFICADO,SUBCUTANEA,A,A/SOUTH AUSTRALIA/34/2019 (H3N2) - CEPA ANÁLOGA (A/SOUTH AUSTRALIA/34/2019. IVR-197).,mcg,15,DOSIS DE 0.5 ML JERINGA PRELLENADA,SUSPENSION INYECTABLE,BIOTOSCANA S.A.,IMPORTADOR,IMPORTAR Y VENDER
225,PRIMOVIST® SOLUCIÓN INYECTABLE,BAYER A.G.,INVIMA 2018M-0012848-R1,02/06/2012,07/18/2023,Vigente,20030187,4,1,FRASCO VIAL CON 5 ML,Inactivo,01/19/2012,01/20/2016,No,U,V08CA10,MEDIOS DE CONTRASTE PARAMAGNETICO (GADOLIN),INTRAVENOSA,C,ACIDO GADOXETICO DISODICO (GD-EOB-DTPA )181.430 MG EQUIVALENTE A GD-EOB-DTPA SAL DISODICA,mmol,0.25,CADA 1ML,SOLUCION INYECTABLE,BAYER A.G.,FABRICANTE,IMPORTAR Y VENDER
226,AFLUX® 200 GRANULADO EFERVESCENTE,TECNOFAR TQ S.A.S,INVIMA 2016M-0011036-R1,07/01/2010,08/09/2021,Vigente,20015099,9,2,MUESTRA MEDICA SOBRE LAMINADO BOPP/ALUM/PE EN CAJA POR 2 SOBRES,Activo,04/22/2016,N/A,Si,U,R05CB01,ACETILCISTEINA,ORAL,E,N-ACETILCISTEINA,mg,200,SOBRE,GRANULOS EFERVESCENTES,TECNOFAR TQ S.A.S,FABRICANTE,FABRICAR Y VENDER
227,TAMSECOX 0.4 MG CAPSULA DE LIBERACIÓN MODIFICADA,NOVAMED S.A.,INVIMA 2016M-0016775,02/01/2016,02/18/2021,Vigente,20064702,5,60,CAJA POR 60 CÁPSULAS EN BLISTER PVDC/TE/PVC INCOLORO/ FOIL ALUMINIO. BLISTER POR 10 CÁPSULAS,Activo,04/14/2015,N/A,No,U,G04CA02,TAMSULOSINA,ORAL,A,TAMSULOSINA CLORHIDRATO,mg,0.4,CAPSULA DE LIBERACION MODIFICADA,CAPSULA DE LIBERACION PROLONGADA,C.I. FARMACAPSULAS S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
228,RITOPIN® 200MG/50MG,HETERO LABS LIMITED,INVIMA 2016M-0017278,08/30/2016,09/15/2021,Vigente,20094876,3,60,MUESTRA MÉDICA FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 60 TABLETAS RECUBIERTAS.,Activo,03/14/2018,N/A,Si,U,J05AR10,LAPINOVIR Y RITONAVIR,ORAL,A,LOPINAVIR,mg,200,TABLETA RECUBIERTA,TABLETA RECUBIERTA,HETERO LABS LIMITED -UNIT III,FABRICANTE,IMPORTAR Y VENDER
229,EZOLIUM®,PROCAPS S.A.,INVIMA 2019M-0015016-R1,05/07/2014,07/29/2024,Vigente,20066114,4,90,CAJA POR 90 CÁPSULAS DURAS. EN BLÍSTER ALU-ALU / ALUMINIO X 10 CÁPSULAS CADA UNO.,Activo,03/03/2014,N/A,No,U,A02BC05,ESOMEPRAZOL,ORAL,A,ESOMEPRAZOL MAGNÉSICO TRIHIDRATO 44.5 MG EQUIVALENTE A ESOMEPRAZOL BASE,mg,40,CÁPSULA DURA,CAPSULA DURA,PROCAPS S.A.,FABRICANTE,FABRICAR Y VENDER
230,EXFORGE® HCT 10/320/25 COMPRIMIDOS RECUBIERTOS CON PELÍCULA,NOVARTIS PHARMA A.G.,INVIMA 2015M-0011477-R1,10/14/2010,02/03/2021,Vigente,20015777,2,14,CAJA POR 14 TABLETAS CUBIERTAS CON PELÍCULA. EN BLISTER ALUMINIO-(PVC/PVDC) POR 7 TABLETAS CADA UNO.,Inactivo,10/13/2010,07/24/2017,No,U,C09DX01,VALSARTAN. AMLODIPINA E HIDROCLOROTIAZIDA.,ORAL,A,VALSARTÁN,mg,320,TABLETA,TABLETA CUBIERTA CON PELICULA,NOVARTIS PHARMA STEIN AG,FABRICANTE,IMPORTAR Y VENDER
231,VARTERAL HCT NF® 160/10/12.5,PROCAPS S.A,INVIMA 2018M-0013037-R1,04/13/2012,05/08/2023,Vigente,20043703,18,2,MUESTRA MEDICA: CAJA POR 2 TABLETAS RECUBIERTAS EN EMPAQUE INDIVIDUAL TIPO BLISTER PVC-PVDC/FOIL ALUMINIO POR 2 TABLETAS RECUBIERTAS C/U,Activo,08/17/2012,N/A,Si,U,C09DX01,VALSARTAN. AMLODIPINA E HIDROCLOROTIAZIDA.,ORAL,A,VALSARTAN,mg,160,TABLETA RECUBIERTA,TABLETA RECUBIERTA,PROCAPS S.A,FABRICANTE,FABRICAR Y VENDER
232,DEXTROSA AL 5% EN SODIO CLORURO AL 0.9%,CORPORACIÓN DE FOMENTO ASISTENCIAL DEL HOSPITAL UNIVERSITARIO SAN VICENTE DE PAUL - CORPAUL.,INVIMA 2015M-0003946 R1,11/25/2004,04/24/2020,Vigente,19950383,7,500,BOLSA POR 500 ML DE POLIETILENO ATOXICO DE BAJA DENSIDAD (PEBD) CON TAPA CABEZA EURO CON FOIL,Activo,03/01/2018,N/A,No,ml,B05BB02,ELECTROLITOS CON CARBOHIDRATOS,INTRAVENOSA,A,DEXTROSA MONOHIDRATO EQUIVALENTE A DEXTROSA,g,5,100 ML DE SOLUCION INYECTABLE,SOLUCION INYECTABLE,CORPORACION DE FOMENTO ASISTENCIAL DEL HOSPITAL UNIVERSITARIO SAN VICENTE DE PAUL - CORPAUL,FABRICANTE,FABRICAR Y VENDER
233,TIQUEPIN® 25 MG TABLETAS RECUBIERTAS,HETERO LABS LIMITED,INVIMA 2015M-0016664,12/10/2015,02/12/2021,Vigente,20093306,1,30,CAJA POR 3 BLÍSTER ALU/ALU (PVC/ALU/OPA) POR 10 UNIDADES,Activo,08/14/2015,N/A,No,U,N05AH04,QUETIAPINA,ORAL,A,QUETIAPINA FUMARATO 28.78 MG  EQUIVALENTE A QUETIAPINA,mg,25,TABLETA,TABLETA RECUBIERTA,HETERO LABS LIMITED UNIT V,FABRICANTE,IMPORTAR Y VENDER
234,CORDIAX AM 80/5 MG TABLETAS,LABORATORIOS SYNTHESIS S.A.S.,INVIMA 2018M-0013859-R1,12/10/2012,05/16/2023,Vigente,20044004,36,30,CAJA POR 30 TABLETAS EN BLISTER ALU-ALU /ALU POR 10 TABLETAS.,Activo,11/04/2016,N/A,No,U,C09DB04,TELMISARTAN Y AMLODIPINO,ORAL,A,AMLODIPINO BESILATO 6. 934 MG EQUIVALENTE A AMLODIPINO BASE,mg,5,TABLETA,TABLETA RECUBIERTA,LABORATORIOS SYNTHESIS S.A.S.,FABRICANTE,FABRICAR Y VENDER
235,SEVEDOL ®,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2017M-015027-R2,01/01/1999,06/22/2022,Vigente,19914092,18,96,CAJA CON ENVASE PEAD (POLIETILENO DE ALTA DENSIDAD) DE COLOR BLANCO Y TAPA DE POLIPROPILENO (PP) DE COLOR AZUL POR 96 TABLETAS,Activo,10/23/2017,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CAFEINA,mg,65,TABLETA,TABLETA,LIANYUNGANG KANGLE PHARMACEUTICAL GO.. LTD,FABRICANTE,IMPORTAR. SEMIELABORAR Y VENDER
236,FADROX® 500 MG / 5ML POLVO PARA SUSPENDER,GALENO QUIMICA S.A.,INVIMA 2016M-0005341-R1,02/07/2006,12/09/2021,Vigente,19954375,1,80,CAJA CON UN FRASCO DE POLIETILENO DE ALTA DENSIDAD POR 80 ML. DE SUSPENSION.,Inactivo,11/10/2006,04/09/2012,No,ml,J01DB05,CEFADROXIL,ORAL,E,CEFADROXILO MONOHIDRATO MICRONIZADO EQUIVALENTE A CEFADROXILO BASE,g,10,CADA 58.071 G. PARA RECONSTITUIR A 100 ML. DE SUSPENSION.,POLVO PARA RECONSTITUIR A SUSPENSION ORAL,SYNTOFARMA S.A.,FABRICANTE,FABRICAR Y VENDER
237,CIMOXEN 500 MG TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,INVIMA 2016M-0012005-R1,03/24/2011,10/11/2021,Vigente,20031521,14,5,CAJA POR 5 TABLETAS RECUBIERTAS EN BLISTER DE PVDC /PE/PVC BLANCO/ALUMINIO POR CINCO TABLETAS,Inactivo,11/06/2015,09/16/2016,No,U,J01MA02,CIPROFLOXACINA,ORAL,A,CIPROFLOXACINO CLORHIDRATO 582.212 MG . EQUIVALENTE A CIPROFLOXACINO BASE,mg,500,TABLETA RECUBIERTA,TABLETA RECUBIERTA,LABORATORIO FRANCO COLOMBIANO LAFRANCOL S.A.S.,FABRICANTE,FABRICAR Y VENDER
238,DIARSET NX® M CAPSULAS,NEVOX FARMA S.A.S.,INVIMA 2020M-0015399-R1,11/11/2014,04/24/2025,Vigente,20064740,1,3,CAJA POR UN BLISTER PVC COLOR ÁMBAR / ALUMINIO POR 3 CÁPSULAS CADA UNO,Activo,01/10/2014,N/A,No,U,G01AF20,COMBINACIONES DE IMIDAZOL DERIVADOS,ORAL,A,METRONIDAZOL,mg,600,CAPSULA,CAPSULA DURA,COLOMPACK S.A.,FABRICANTE,FABRICAR Y VENDER
239,LEMOVIT®C,PROCAPS S.A.,INVIMA 2018M-0011329-R1,05/07/2008,03/26/2023,Vigente,19988249,44,200,FRASCO DE PEAD BLANCO CON TAPA AMARILLA  DE POLIPROPILENO X 200 CAPSULAS DURAS.,Activo,02/04/2014,N/A,No,U,A11GA01,ACIDO ASCORBICO (VIT C),ORAL,A,610 MG DE ACIDO ASCORBICO EN MICROGRANULOS. EQUIVALENTE A ACIDO ASCORBICO (VITAMINA C)500 MG. COMPOSICION DE LOS MICROGRANULOS: ACIDO ASCORBICO 500 MG. AZUCAR 52.4993 MG.GOMA LACA 36.5363 MG. ACIDO TARTARICO 11.8534 MG. TALCO 9.1109 MG. ALCOHOL ETILICO *128.0000 MG*SE EVAPORA DURANTE EL PROCESO,-,0,CAPSULA DURA,CAPSULA DE LIBERACION PROLONGADA,PROCAPS S.A.,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
240,NORAVER® NF NOCHE,TECNOQUIMICAS S.A.,INVIMA 2019M-0019486,12/04/2019,12/27/2024,Vigente,20120374,12,12,2D1018131000110 CAJA PLEGADIZA POR 12 SOBRES LAMINADOS (BOPP + ALUMINIO + RESINA DE SELLE) POR 15 GRAMOS CADA UNO,Activo,10/30/2019,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,DIFENHIDRAMINA CLORHIDRATO,mg,25,SIN DATO,GRANULOS,TECNOQUIMICAS S.A,IMPORTADOR,IMPORTAR. SEMIELABORAR Y VENDER
241,TADALAFILO 20MG,SANDOZ GMBH,INVIMA 2015M-0016053,07/14/2015,08/04/2020,Vigente,20070443,3,4,CAJA X 4 TABLETAS EN BLISTER ALUMINIO / ALUMINIO X 4 TABLETAS.,Activo,11/27/2014,N/A,No,U,G04BE08,TADALAFIL,ORAL,A,TADALAFILO ADSORBATO EQUIVALENTE A TADALAFILO,mg,20,TABLETA,TABLETA,NOVARTIS DE COLOMBIA S.A.,IMPORTADOR,IMPORTAR Y VENDER
242,NUTRIFLEX ® OMEGA SPECIAL,B. BRAUN MELSUNGEN AG,INVIMA 2017M-0012937-R1,02/27/2012,05/04/2022,Vigente,20030605,2,5,CAJA CON 5 BOLSAS PLÁSTICA FLEXIBLE DE POLIAMIDA Y POLIPROPILENO. PUERTO DE PP CON TAPÓN DE GOMA CON TRES COMPARTIMENTOS POR 1250 ML .CADA BOLSA INCLUYE INDICADOR Y ADSORBENTE DE OXIGENO,Activo,10/31/2011,N/A,No,U,B05BA10,COMBINACIONES,INTRAVENOSA,A,ISOLEUCINA,g,3.284,1000 ML,EMULSION INYECTABLE,B. BRAUN MELSUNGEN AG,FABRICANTE,IMPORTAR Y VENDER
243,ALCADOL®GRIPA,HIGH NUTRITION COMPANY S.A.S.,INVIMA 2015M-0016704,12/15/2015,01/05/2021,Vigente,20099545,10,100,CAJA POR 100 CAPSULAS BLANDAS EN BLISTER PVC-PVDC TRANSPARENTE/ ALUMINIO POR 10 CAPSULAS,Activo,12/12/2015,N/A,No,U,M01AE51,IBUPROFEN COMBINACIONES,ORAL,A,FENILEFRINA CLORHIDRATO,mg,10,CÁPSULA BLANDA,CAPSULA BLANDA,HIGH NUTRITION COMPANY S.A.S.,IMPORTADOR,IMPORTAR. ENVASAR Y VENDER
244,RITONAX® TABLETAS RECUBIERTAS,BIOTOSCANA S.A.,INVIMA 2010M-0010623,03/31/2010,04/15/2020,Vigente,20010550,3,30,CAJA POR UN FRASCO DE PEAD CON TAPA ROSCA DE PEAD POR 30 TABLETAS,Activo,07/30/2013,N/A,No,U,J05AE03,RITONAVIR,ORAL,A,RITONAVIR,mg,100,TABLETA RECUBIERTA,TABLETA RECUBIERTA,BIOTOSCANA S.A.,IMPORTADOR,IMPORTAR Y VENDER
245,ESCITAVITAE® 20MG TABLETAS RECUBIERTAS,GALENICUM HEALTH COLOMBIA S.A.S.,INVIMA 2019M-0018940,04/10/2019,05/03/2024,Vigente,20138566,4,56,1E1005031003103 ESCITALOPRAM 20.0000 MG TABLETAS DE LIBERACION NO MODIFICADA ORAL (ESCITAVITAE) TABLETA 1.0000U / CAJA X 56. CAJA POR 56 TABLETAS RECUBIERTAS COLOR BLANCO EN BLÍSTER DE PVC/PVDC/PVC TRANSPARENTE Y ALUMINIO.,Activo,10/23/2018,N/A,No,U,N06AB10,ESCITALOPRAM,ORAL,A,ESCITALOPRAM OXALATO 25.55 MG EQUIVALENTE A ESCITALOPRAM,mg,20,TABLETA RECUBIERTA COLOR BLANCO,TABLETA RECUBIERTA,GALENICUM HEALTH COLOMBIA S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
246,BICARBONATO DE SODIO 1 MEQ / ML,LABORATORIOS RYAN DE COLOMBIA S.A.S,INVIMA 2019M-001684-R4,01/01/1999,06/14/2024,Vigente,32250,1,"1,000",CAJA DE CARTON POR 100 AMPOLLAS DE VIDRIO BLANCO TIPO I Y PIROGRABADO NARANJA POR 10 ML DE SOLUCIÓN.,Activo,11/10/2006,N/A,No,ml,B05XA02,SODIO BICARBONATO,INTRAVENOSA,A,BICARBONATO DE SODIO USP,g.,0.8401,AMPOLLA DE 10 ML.,SOLUCION INYECTABLE,LABORATORIOS RYAN DE COLOMBIA S.A.S,FABRICANTE,FABRICAR Y VENDER
247,DROSPERA,EXELTIS S.A.S.,INVIMA 2015M-0016402,10/16/2015,11/03/2020,Vigente,20077138,1,28,CAJA POR 1 BLÍSTER DE PVC-PVDC / ALUMINIO CON 21 TABLETAS RECUBIERTAS DE ACTIVO MÁS 7 TABLETAS RECUBIERTAS DE PLACEBO CADA UNO. CADA BLÍSTER CON PORTABLISTER.,Activo,01/29/2015,N/A,No,U,G03AA12,DROSPIRENONA Y ESTROGENO,ORAL,A,DROSPIRENONA,mg,3,TABLETA CUBIERTA CON PELÍCULA,TABLETA RECUBIERTA,EXELTIS S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
248,IPIPRAL® 30 MG TABLETAS,HUMAX PHARMACEUTICAL S.A.,INVIMA 2016M-0010979-R1,06/17/2010,03/17/2021,Vigente,20014921,21,50,MUESTRA MÉDICA CAJA PLEGADIZA POR 50 TABLETAS EN SOBRE FOIL ALUMINIO/PEBD. CADA SOBRE CONTIENE 10 TABLETAS.,Activo,07/15/2019,N/A,Si,U,N05AX12,ARIPIPRAZOL,ORAL,A,ARIPIPRAZOL,mg,30,TABLETA,TABLETA,FARMATECH S.A.,FABRICANTE,FABRICAR Y VENDER
249,DAPTOMRED 500 MG/ VIAL,DR. REDDY´S LABORATORIES LIMITED,INVIMA 2018M-0018197,05/09/2018,05/25/2023,Vigente,20118036,1,1,CAJA POR 1 VIAL DE VIDRIO TIPO I CLARO. TAPÓN DE BROMOBUTILO GRIS. SELLO DE ALUMINIO Y TAPA FLIP-OFF AZUL,Activo,11/29/2017,N/A,No,U,J01XX09,DAPTOMICINA,INTRAVENOSA,A,DAPTOMICINA,mg,500,VIAL,POLVO LIOFILIZADO PARA RECONSTITUIR A SOLUCION INYECTABLE,DR. REDDY´S LABORATORIES S.A.S.,IMPORTADOR,IMPORTAR Y VENDER
250,VENLAFAXINA 37.5 MG,TECNOQUIMICAS S.A.,INVIMA 2019M-0013270-R1,06/15/2012,06/19/2024,Vigente,20023920,22,2,MUESTRA MEDICA CAJA PLEGADIZA POR 2 TABLETAS DE LIBERACIÓN PROLONGADA EN BLÍSTER DE PVC / ALUMINIO POR 2 TABLETAS DE LIBERACIÓN PROLONGADA,Activo,11/14/2012,N/A,Si,U,N06AX16,VENLAFAXINA,ORAL,A,VENLAFAXINA CLORHIDRATO 42.43 MG EQUIVALENTE A VENLAFAXINA,mg,37.5,TABLETA DE LIBERACION PROLONGADA,TABLETA DE LIBERACION PROLONGADA,TECNOQUIMICAS S.A. (PLANTA JAMUNDI),FABRICANTE,FABRICAR Y VENDER
251,NOXPIRIN CALIENTE NOCHE,LABORATORIOS SIEGFRIED S.A.S,INVIMA 2020M-0013331-R1,06/29/2012,03/27/2025,Vigente,20048477,4,24,CAJA POR 24 SOBRES DE ALUMINIO/POLIESTER/COEXTRUIDO/PEBD POR 10 G DE GRANULADO CADA SOBRE.,Activo,06/26/2012,N/A,No,U,N02BE51,PARACETAMOL COMBINACIONES EXCLUYENDO SICOLEPTICOS,ORAL,A,CLORHIDRATO DE FENILEFRINA,mg,10,SOBRE,GRANULOS,LABORATORIOS SIEGFRIED S.A.S,FABRICANTE,FABRICAR Y VENDER
